City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,la ronge,55.1001,-105.2842,2.14,69,75,3.09,CA,1675639692
316,darhan,49.4867,105.9228,-23.17,99,76,1.57,MN,1675639693
317,madison heights,42.4859,-83.1052,5.14,73,100,2.57,US,1675639593
318,puerto madryn,-42.7692,-65.0385,20.44,68,29,11.4,AR,1675639694
319,estelle,29.8458,-90.1067,20.0,52,20,3.6,US,1675639694
320,katsuura,35.1333,140.3,8.74,76,3,3.58,JP,1675639411
321,poum,-20.2333,164.0167,28.86,80,100,8.99,NC,1675639695
322,havre,49.5833,0.3333,4.22,93,0,0.0,FR,1675639695
323,snasa,64.2457,12.3778,-2.33,97,98,1.72,NO,1675639695
324,touros,-5.1989,-35.4608,26.74,75,79,4.97,BR,1675639696
325,west bay,19.3667,-81.4167,27.04,78,20,3.09,KY,1675639696
326,kinsale,51.7075,-8.5306,7.65,93,75,3.6,IE,1675639697
327,bose,45.4612,8.0137,4.57,96,100,2.11,IT,1675639697
328,danshui,22.7984,114.4672,17.01,94,97,1.07,CN,1675639698
329,amberieu-en-bugey,45.9589,5.3432,5.81,88,95,5.75,FR,1675639698
330,kuching,1.55,110.3333,26.13,95,20,0.89,MY,1675639698
331,bonthe,7.5264,-12.505,25.22,82,100,3.53,SL,1675639699
332,kahului,20.8947,-156.47,27.01,72,40,10.29,US,1675639699
333,karasjok,69.4719,25.5112,-3.9,88,73,5.6,NO,1675639700
334,rocha,-34.4833,-54.3333,19.04,80,0,2.47,UY,1675639700
335,provideniya,64.3833,-173.3,-18.94,100,75,6.0,RU,1675639701
336,teya,60.3778,92.6267,-14.71,97,100,1.91,RU,1675639701
337,phalombe,-15.8064,35.6507,19.25,97,76,0.41,MW,1675639701
338,vicosa do ceara,-3.5622,-41.0922,19.73,96,96,1.08,BR,1675639702
339,gouyave,12.1646,-61.7296,25.43,78,20,7.72,GD,1675639702
340,krasnovishersk,60.4078,57.082,-20.13,99,88,1.57,RU,1675639703
341,shimoda,34.6667,138.95,8.39,56,26,4.56,JP,1675639703
342,clyde river,70.4692,-68.5914,-28.87,69,0,6.17,CA,1675639704
343,mao,39.8885,4.2658,11.31,66,75,10.29,ES,1675639704
344,bombay,19.0144,72.8479,22.99,78,30,1.54,IN,1675639554
345,vardo,70.3705,31.1107,-7.01,93,100,11.83,NO,1675639705
346,comodoro rivadavia,-45.8667,-67.5,18.92,63,0,6.17,AR,1675639705
347,lerwick,60.1545,-1.1494,8.0,76,100,8.97,GB,1675639705
348,grand gaube,-20.0064,57.6608,26.22,80,69,2.68,MU,1675639706
349,tottori,35.5,134.2333,2.04,75,75,3.6,JP,1675639531
350,sungurlare,42.7667,26.7833,-1.91,76,100,10.0,BG,1675639706
351,cayenne,4.9333,-52.3333,22.02,100,0,0.51,GF,1675639707
352,sitka,57.0531,-135.33,5.94,61,100,7.72,US,1675639707
353,san felipe,10.3399,-68.7425,22.05,92,89,2.79,VE,1675639708
354,kabalo,-6.05,26.9167,19.76,97,99,0.25,CD,1675639708
355,fortuna,40.5982,-124.1573,10.52,94,100,3.6,US,1675639668
356,benguela,-12.5763,13.4055,25.33,76,99,1.22,AO,1675639264
357,sumbe,-11.2061,13.8437,25.12,80,39,2.31,AO,1675639709
358,ostrovnoy,68.0531,39.5131,-10.98,93,97,6.64,RU,1675639709
359,alofi,-19.0595,-169.9187,22.94,94,90,8.75,NU,1675639710
360,olga,43.7444,135.2892,-11.39,87,32,2.56,RU,1675639710
361,fomboni,-12.28,43.7425,28.02,74,100,1.96,KM,1675639710
362,okhotsk,59.3833,143.3,-26.01,82,97,4.91,RU,1675639711
363,stephenville,32.2207,-98.2023,23.44,32,0,2.57,US,1675639711
364,awbari,26.5921,12.7805,10.17,47,1,2.47,LY,1675639712
365,nome,64.5011,-165.4064,-8.96,79,75,1.54,US,1675639572
366,novoblagodarnoye,44.1433,42.875,-4.27,100,100,6.0,RU,1675639712
367,egvekinot,66.3167,-179.1667,-29.0,87,100,5.16,RU,1675639713
368,puerto carreno,6.189,-67.4859,29.28,47,83,4.16,CO,1675639713
369,zverinogolovskoye,54.4586,64.8542,-15.13,97,97,2.38,RU,1675639714
370,santa cruz cabralia,-16.2781,-39.0247,26.13,83,0,4.12,BR,1675639594
371,tuktoyaktuk,69.4541,-133.0374,-43.0,66,40,2.06,CA,1675639714
372,dondo,-19.6094,34.7431,22.88,93,13,1.34,MZ,1675639715
373,naliya,23.2667,68.8333,19.27,80,2,3.42,IN,1675639715
374,biak,-0.9131,122.8766,25.03,78,100,2.61,ID,1675639716
375,beba,22.4437,-79.7253,21.15,72,34,2.57,CU,1675639716
376,odate,40.2686,140.5683,-2.92,93,75,0.51,JP,1675639717
377,oktyabrskoye,43.0645,44.7417,-2.92,92,100,2.0,RU,1675639717
378,maniitsoq,65.4167,-52.9,-15.48,90,100,4.22,GL,1675639717
379,vila,42.0304,-8.1588,4.83,57,0,2.04,PT,1675639718
380,lokosovo,61.1333,74.8167,-20.63,100,99,1.27,RU,1675639718
381,beira,-19.8436,34.8389,25.02,84,1,2.72,MZ,1675639542
382,tyumentsevo,53.3224,81.498,-14.23,93,100,2.88,RU,1675639719
383,pineville,31.3224,-92.4343,21.04,54,0,2.57,US,1675639423
384,puri,19.8,85.85,17.29,66,24,2.52,IN,1675639720
385,lakes entrance,-37.8811,147.981,21.2,67,64,3.6,AU,1675639720
386,corn island,12.1694,-83.0418,26.11,75,5,8.04,NI,1675639720
387,saint-augustin,51.226,-58.6502,-16.24,93,100,0.43,CA,1675639721
388,almeirim,-1.5233,-52.5817,23.46,94,72,1.46,BR,1675639721
389,sechura,-5.5569,-80.8222,25.94,67,7,7.15,PE,1675639722
390,letka,59.6011,49.4232,-20.45,100,100,0.72,RU,1675639722
391,whyalla,-33.0333,137.5833,22.39,48,40,3.23,AU,1675639722
392,zhezkazgan,47.8043,67.7144,-3.64,92,99,3.5,KZ,1675639723
393,sao sebastiao do cai,-29.5867,-51.3756,25.51,66,54,0.92,BR,1675639718
394,husavik,66.0449,-17.3389,7.63,80,100,14.79,IS,1675639723
395,carmen,18.6333,-91.8333,25.02,73,40,3.09,MX,1675639724
396,maurawan,26.4333,80.8833,12.02,53,0,2.05,IN,1675639724
397,kihei,20.785,-156.4656,27.01,76,40,10.29,US,1675639725
398,polis,35.0367,32.4264,12.9,87,98,13.03,CY,1675639725
399,umm kaddadah,13.6017,26.6876,19.0,17,54,5.26,SD,1675639515
400,najran,17.4924,44.1277,15.36,35,100,0.64,SA,1675639624
401,ruston,32.5232,-92.6379,17.9,72,0,0.0,US,1675639726
402,hobyo,5.3505,48.5268,24.65,78,32,7.41,SO,1675639727
403,acapulco,16.8634,-99.8901,29.9,58,0,3.09,MX,1675639727
404,maceio,-9.6658,-35.7353,26.69,89,40,2.06,BR,1675639476
405,kununurra,-15.7667,128.7333,26.99,89,29,0.0,AU,1675639728
406,san quintin,30.4833,-115.95,16.81,76,34,11.2,MX,1675639728
407,san juan,-31.5375,-68.5364,35.14,16,0,3.28,AR,1675639627
408,gloversville,43.0528,-74.3438,3.64,76,100,1.66,US,1675639729
409,young,-32.6833,-57.6333,25.85,17,0,1.57,UY,1675639694
410,katete,-0.7818,29.7544,18.27,52,70,1.35,UG,1675639729
